AbB 1, 9: 17	[x-x-...-x]-⌈ú⌉ an-nu-ú
AbB 1, 9: 18	[...-x-x-x-x-x-x-x]
AbB 1, 9: 19	[x-x-...-x-nu-x]-tum ib-ba-aš-šu-ú
AbB 1, 9: 20	i-na [x-i-x] aš-ṭú-ur-ma &(unt. Rd.)$
AbB 1, 9: 21	aš-ta-ka-an &rev.$
AbB 1, 9: 22	ù še-um ḫa-li-[x-x-x]-PI?-tu-ú-ma
AbB 1, 9: 23	ša-ak-nu 10 ŠE.GUR ma-ṣi
AbB 1, 9: 24	[x-x-x-x-x]-li-iq a-na pé-e it-tu-ur
AbB 1, 9: 25	šum-ma i-na ITU an-ni-i še-um šu-ú
AbB 1, 9: 26	la it-ta-ṣi
AbB 1, 9: 27	ma-am-ma-an ú-ul i-ḫa-aš-ši-iḫ
AbB 1, 9: 28	i-ḫa-al-li-iq ù mu-úḫ-ḫi iš-ša-ka-an
AbB 1, 9: 29	šum-ma i-in-ka [x-x-x-x] š[u]-u[p]-ra-am-ma
AbB 1, 9: 30	10 ŠE.GUR a-na mu-uḫ-ḫi li-iš-ša-pí-ik
AbB 1, 9: 31	li-ib-ta-al-li-il-ma li-ṣi
AbB 1, 9: 32	šum-ma la ki-a-am-ma še-um šu-ú-ma
AbB 1, 9: 33	i-na ITU an-ni-i li-in-na-di-in-ma
AbB 1, 9: 34	li-ib-ta-al-li-iṭ
AbB 1, 9: 35	a-na la-ma-di-ka aš-pu-ra-am
AbB 1, 10: 1	a-na a-wi-lim ša D:AMAR.UTU ú-ba-al-l[a]-ṭú
AbB 1, 10: 2	qí-bí-ma
AbB 1, 10: 3	um-ma <DIŠ:>SAG.ÍL-mu-ša-lim-ma
AbB 1, 10: 4	D:UTU ù D:AMAR.UTU da-ri-iš u₄-mi
AbB 1, 10: 5	li-ba-al-li-ṭú-ka
AbB 1, 10: 6	aš-šum it-ti-ka la an-na-am-ru
AbB 1, 10: 7	DIŠ:ì-lí-i-qí-ša-am <B:>ŠU.I
AbB 1, 10: 8	a-na ta-re-e-ia il-li-kam-ma
AbB 1, 10: 9	aš-šum še bi-tim it-ti-ka
AbB 1, 10: 10	ú-ul an-na-me-er
AbB 1, 10: 11	aš-šum DIŠ:D:IŠKUR-šar-rum &(unt. Rd.)$
AbB 1, 10: 12	ša ta-aš-pu-ra-am &rev.$
AbB 1, 10: 13	a-na-ku DIŠ:D:IŠKUR-šar-rum
AbB 1, 10: 14	ù DIŠ:D:AMAR.UTU-qar-ra-ad
AbB 1, 10: 15	i-na <ON:>za-mi-rí-i:KI
AbB 1, 10: 16	nu-uš-ta-ti-i-ma
AbB 1, 10: 17	um-ma <DIŠ:>D:IŠKUR-šar-rum-ma
AbB 1, 10: 18	a-na-ku ša el-qú-ú
AbB 1, 10: 19	ap-pa-al-ma
AbB 1, 10: 20	ù um-ma <DIŠ:>D:AMAR.UTU-qar-ra-ad-ma
AbB 1, 10: 21	a-na-ku-ma a-ap-pa-al-ma
AbB 1, 10: 22	aš-šum še-im ša bi-ti-ia
AbB 1, 10: 23	ki-ma aq-bu-kum
AbB 1, 10: 24	i-na <ON:>⌈i⌉[š]-ku-un-D:AMAR.UTU_KI &(ob. Rd.)$
AbB 1, 10: 25	še-am a-ap-pa-al-k[a] &left e.$
AbB 1, 10: 26	mi-im-ma la ta-na-az-zi-iq
AbB 1, 11: 1	a-na a-wi-lim ša D:AMAR.UTU ú-ba-al-la-ṭú-šu
AbB 1, 11: 2	qí-bí-ma
AbB 1, 11: 3	um-ma <DIŠ:>IB?-D:na-bi-um-ma₃
AbB 1, 11: 4	D:UTU ù D:AMAR.UTU da-ri-iš u₄-mi li-ba-al-li-ṭú-ka
AbB 1, 11: 5	lu ša-al-ma-ta lu ba-al-ṭa-ta
AbB 1, 11: 6	DINGIR na-ṣi-ir-ka re-eš-ka a-na da-mi-iq-tim 2
AbB 1, 11: 7	li-ki-il
AbB 1, 11: 8	a-na šu-ul-mi-ka aš-pu-ra-am
AbB 1, 11: 9	šu-lum-ka ma-ḫar D:UTU ù D:AMAR.UTU lu da-ri
AbB 1, 11: 10	aš-šum ša ta-aš-pu-ra-am um-ma at-ta-ma
AbB 1, 11: 11	DIŠ:D:EN.ZU-mu-ša-lim <B:>UŠ.KU_ú-nu-tim
AbB 1, 11: 12	DIŠ:D:AMAR.UTU-mu-ba-lí-iṭ <B:>UŠ.KU_ú-nu-tim
AbB 1, 11: 13	ù
AbB 1, 11: 14	a-na É-ia ú-še-ri-ib-šu-nu-ti-ma
AbB 1, 11: 15	ša-ap-ti SAG:IR₃ eš-mu-ú
AbB 1, 11: 16	DIŠ:D:EN.ZU-iš-me-a-ni
AbB 1, 11: 17	DIŠ:IR₃-D:EN.ZU
AbB 1, 11: 18	DIŠ:IR₃-D:AMAR.UTU
AbB 1, 12: 1	a-na a-wi-lim ša D:AMAR.UTU
AbB 1, 12: 2	ú-ba-al-la-ṭú-[š]u
AbB 1, 12: 3	qí-bí-ma
AbB 1, 12: 4	um-ma <DIŠ:>IR₃-D:da-gan-ma
AbB 1, 12: 5	D:UTU ù D:AMAR.UTU aš-šu-mi-ia da-ri-iš u₄-mi
AbB 1, 12: 6	li-ba-al-li-ṭú-ka
AbB 1, 12: 7	1 šu-ši UDU.NITA₂.ḪI.A a-na DUMU [L]UG[A]L
AbB 1, 12: 8	[a]d-di-in-ma
AbB 1, 12: 9	[aš]-šu-mi 50 UDU.NITA₂.[ḪI.A]
AbB 1, 12: 10	[ša i-n]a pa-ni 1 šu-[ši ...]
AbB 1, 12: 11	[x-x-x-x-...] &rev.$
AbB 1, 12ʾ: 1	1 GU₂.UN SIG₂.Ḫ[I.A]
AbB 1, 12ʾ: 2	a-na šu-zu-ub-ti-ka
AbB 1, 12ʾ: 3	uš-ta-bi-la-ak-kum
AbB 1, 13: 1	a-na a-wi-lim qí-bí-ma
AbB 1, 13: 2	um-ma <DIŠ:>IR₃-D:AMAR.UTU-ma
AbB 1, 13: 3	D:UTU ù D:AMAR.UTU da-ri-iš u₄-mi
AbB 1, 13: 4	li-ba-al-li-ṭú-ka
AbB 1, 13: 5	[lu ša]-al-ma-ta lu ba-al-ṭa-a-ta
AbB 1, 13: 6	[DINGIR na-ṣ]i-ir-ka re-eš-ka
AbB 1, 13: 7	[a-na da]-mi-iq-tim 2 li-ki-il
AbB 1, 13: 8	[š]u-[lum-k]a ma-ḫar D:UTU ù D:AMAR.UTU lu da-ri
AbB 1, 13: 9	aš-š[u]m di-ib-ba-tim ša <DIŠ:>D:EN.ZU-še-mi a-ḫi-šu
AbB 1, 13: 10	ša i-na É <B:>AGRIG ka-lu-ú
AbB 1, 13: 11	DIŠ:D:AMAR.UTU-mu-ba-lí-iṭ DUMU <B:>UGULA.DAM.GAR₃
AbB 1, 13: 12	it-ti <B:>NA.AŠ.BAR ša <DIŠ:>be-el-šu-nu
AbB 1, 13: 13	a-ḫi 2 <DIŠ:>D:EN.ZU-na-di-in-šu-mi-im
AbB 1, 13: 14	a-na <ON:>KA₂.DINGIR.RA:KI
AbB 1, 13: 15	it-[t]a-al-kam
AbB 1, 13: 16	at-ta ù DUMU a-ḫi 2 a-bi-ka
AbB 1, 13: 17	šu-ta-ti-a
AbB 1, 13: 18	ma-ḫar a-wi-lim <DIŠ:>be-el-šu-nu
AbB 1, 13: 19	pu-uṭ-ṭe₄-ra-a-šu-ma
AbB 1, 13: 20	<ON:>UD.KIB.NUN:KI li-it-ta-al-kam
AbB 1, 13: 21	b[a]-lu-šu la ta-a-al-kam &probably for ta-al-la-kam$
AbB 1, 13: 22	[a-na <ON:>UR]U:BAD₃-D:UTU ṭú-ur-da-aš-šu
AbB 1, 13: 23	[i-na] an-ni-tim at-ḫu-tam
AbB 1, 13: 24	ku-ul-li-im
AbB 1, 14: 1	a-na a-wi-le-e
AbB 1, 14: 2	ša D:AMAR.UTU ú-ba-al-la-ṭú-šu-nu-ti
AbB 1, 14: 3	qí-bí-ma
AbB 1, 14: 4	um-ma <B:>UGULA.DAM.GAR₃.MEŠ ù <B:>DI.KUD.MEŠ-ma
AbB 1, 14: 5	D:UTU ù D:AMAR.UTU [d]a-ri-iš u₄-mi
AbB 1, 14: 6	li-ba-al-li-ṭú-ku-nu-ti
AbB 1, 14: 7	aš-šum ap-lu-ut <B:>LUKUR_D:UTU
AbB 1, 14: 8	ša <DIŠ:>na-ra-am-ì-lí-šu
AbB 1, 14: 9	a-ḫi 2 <DIŠ:>i-bi-D:UTU
AbB 1, 14: 10	il-qú-ú-ma
AbB 1, 14: 11	LU₂:BAD₃:KI.MEŠ &(unt. Rd.)$
AbB 1, 14: 12	it-ti <DIŠ:>i-bi-D:UTU
AbB 1, 14: 13	i-di-nu &rev.$
AbB 1, 14: 14	a-wa-ti-šu-nu
AbB 1, 14: 15	ni-mu-ur-ma
AbB 1, 14: 16	a-na pí-i ṭup-pa-a-tim ša ap-lu-ti
AbB 1, 14: 17	[š]a <DIŠ:>i-bi-D:UTU na-šu-ú
AbB 1, 14: 18	di-nam a-na <DIŠ:>i-bi-D:UTU ni-ig-mu-ur
AbB 1, 14: 19	ù aš-šum LU₂:BAD₃:KI.MEŠ
AbB 1, 14: 20	a-na la a-wa-ti-šu-nu
AbB 1, 14: 21	i-di-nu
AbB 1, 14: 22	a-na pí-i ṭup-pí ṣi-im-da-tim
AbB 1, 14: 23	ki-ma ša la šu-ni-a-am
AbB 1, 14: 24	ib-qú-ru
AbB 1, 14: 25	še-er-tam &(ob. Rd.)$
AbB 1, 14: 26	⌈i⌉-ṣi-ru-šu-nu-ši-im
AbB 1, 14: 27	⌈ù⌉ a-na la ta-ri-im-ma
AbB 1, 14: 28	la ba-qá-ri-im &left e.$
AbB 1, 14: 29	ka-ni-kam nu-še-zi-ib-šu-nu-ti
AbB 1, 14: 30	ka-ni-kam šu-a-ti ši-me-a
AbB 1, 15: 1	la-ma-as-sú ša bi-ia-ti-ia
AbB 1, 15: 2	i-na li-it-tim ù šu-mi dam-qí-im
AbB 1, 15: 3	i-na E₂.GAL ta-at-ta-na-al-la-ku
AbB 1, 15: 4	a-bi ka-ta li-la-ab-bi-ru
AbB 1, 15: 5	a-bi at-ta lu ša-al-ma-ta lu ba-al-ṭa-ta
AbB 1, 15: 6	la-ma-as-sí bi-ia-ti-ia li-iṣ-ṣú-ur-ka
AbB 1, 15: 7	aš-šum ka-ni-ik SAG:IR₃ ša <DIŠ:>IR₃-D:NIN.ŠUBUR
AbB 1, 15: 8	DUMU <DIŠ:>D:NIN.URTA-SAG.KALAG IR₃-ka
